CompanyId,CompanyName,FilingDate,RestatementType1,RestatementType2,RestatementType3,SectorName,SectorId
1272703,"Hydrogen Engine Center, Inc.","7/23/2008","OTH"," ER","OTH","Capital Goods",2
1273441,"Gran Tierra Energy, Inc.","5/12/2008","OTH","","","Energy",5
1277270,"Telanetix Inc.","4/14/2008","OTH","","","Services",8
1280452,"Monolithic Power Systems Inc.","5/12/2008","OTH","","","Technology",9
1281922,"Triangle Petroleum Corp.","3/7/2008","OTH","","","Energy",5
1286597,"Banro Corp.","9/2/2008","OTH","","","Basic Materials",1
1288750,"Timberline Resources Corp.","1/14/2008","OTH","","","Basic Materials",1
1289848,"Huron Consulting Group Inc.","8/17/2009","OTH"," ER","","Services",8
1290903,"eLong, Inc","6/30/2008","OTH","","","Services",8
1292055,"Symmetry Medical Inc.","4/24/2008","ER","OTH","OTH","Healthcare",7
1292087,"Lotus Pharmaceuticals Inc.","2/20/2008","OTH","OTH","","Healthcare",7
1295803,"Aurelio Resource Corp","9/17/2008","ER","OTH","","Basic Materials",1
1298095,"OmniReliant Holdings, Inc.","9/29/2008","ER","OTH","OTH","Consumer Non-Cyclical",4
1299139,"OccuLogix, Inc.","7/21/2008","OTH","OTH"," ER","Healthcare",7
1300524,"Hammonds Industries Inc.","3/18/2008","OTH","","","Consumer Cyclical",3
1300578,"Innovative Card Technologies, Inc.","6/18/2008","OTH"," ER","","Technology",9
1301299,"Siberian Energy Group Inc","4/15/2008","OTH","","","Energy",5
1303180,"Amera Resources Corp.","6/6/2008","OTH","","","Basic Materials",1
1303936,"Cardero Resource Corp.","1/30/2008","OTH","OTH"," ER","Basic Materials",1
1304280,"Novelis Inc.","8/12/2008","OTH","OTH","","Basic Materials",1
1309251,"Immureboost Inc.","5/16/2008","OTH","OTH","","Healthcare",7
1312623,"Fit For Business International Inc.","1/29/2008","OTH","","","Services",8
1314102,"Psivida Corp.","6/18/2008","OTH","","","Healthcare",7
1318820,"4C CONTROLS INC","9/19/2008","RR","OTH","","Capital Goods",2
1320934,"INTERNATIONAL COAL GROUP, INC.","12/18/2009","OTH","OTH","","Energy",5
1329394,"Silicon Motion Technology Corporation","5/12/2008","OTH","","","Technology",9
1334933,"Uranium Energy Corp.","6/9/2008","ER","","","Basic Materials",1
1335493,"Provision Holding, Inc.","10/14/2008","ER","OTH","","Consumer Cyclical",3
1336545,"AMERICAN APPAREL, INC","8/13/2009","OTH","OTH","","Consumer Cyclical",3
1336920,"SAIC, INC.","9/3/2008","OTH","","","Technology",9
1337298,"Futurefuel Corp","3/31/2008","OTH","","","Healthcare",7
1337899,"Fortunet Inc.","3/26/2008","OTH","","","Services",8
1340041,"COMPLETE PRODUCTION SERVICES, INC.","8/7/2009","RR","","","Energy",5
1340786,"Fuel Systems Solutions Inc.","4/22/2008","OTH","OTH","","Consumer Cyclical",3
1343557,"Fightersoft Multimedia Corp.","10/15/2008","OTH","","","Services",8
1350073,"Paw Spa Inc.","3/25/2008","OTH","","","Consumer Non-Cyclical",4
1353970,"NB Telecom, Inc.","7/23/2008","ER","OTH","","Services",8
1354942,"NewCardio Inc.","8/22/2008","OTH","OTH","","Healthcare",7
1359555,"ICO Global Communications (Holdings)","3/28/2008","OTH","","","Services",8
1363254,"Pegasi Energy Resources Corp.","8/7/2008","OTH","OTH","OTH","Services",8
1363254,"Pegasi Energy Resources Corp.","4/21/2008","RR","OTH","OTH","Services",8
1365790,"GLG Partners Inc","4/22/2008","ER","","","Financial",6
1368308,"Hong Kong Highpower Technology Inc.","6/30/2008","ER","","","Consumer Cyclical",3
1368519,"North American Energy Partners Inc.","6/23/2008","OTH","","","Energy",5
1371473,"Znomics, Inc.","7/23/2008","RR","","","Healthcare",7
1373671,"Isilon Systems, Inc.","4/2/2008","RR","","","Technology",9
1373761,"DRAYTON HARBOR RESOURCES INC.","8/19/2008","OTH","","","Basic Materials",1
1375483,"YELLOWCAKE MINING INC.","9/3/2008","ER","","","Basic Materials",1
1376139,"CVR Energy Inc.","5/8/2008","OTH","","","Energy",5
1377630,"NATIONAL CINEMEDIA, INC.","11/5/2009","OTH","","","Services",8
1377720,"Cyberdefender Corp","4/15/2008","OTH","","","Technology",9
1377789,"Harris Stratex Networks, Inc","9/25/2008","OTH","OTH","OTH","Technology",9
1378195,"Mogul Energy International Inc","4/15/2008","ER","","","Energy",5
1384072,"Vanguard Natural Resources, LLC","5/12/2008","OTH","","","Energy",5
1388133,"SHORETEL INC","11/6/2009","ER","","","Services",8
1389415,"1st Home Buy and Sell Ltd.","2/28/2008","OTH","","","Technology",9
1391428,"Thomas Pharmaceuticals Ltd","4/15/2008","OTH","","","Healthcare",7
1393526,"Aspen Racing Stables","2/15/2008","OTH","","","Services",8
1394074,"Spectra Energy Partners LP","3/25/2008","OTH","","","Energy",5
1394159,"Orbitz Worldwide Inc.","8/28/2008","OTH","","","Services",8
1394220,"Rino International Corp.","6/11/2008","OTH","","","Services",8
1394220,"RINO International Corp.","8/4/2008","OTH","","","Services",8
1396009,"VULCAN MATERIALS CO","11/6/2009","OTH","OTH","","Capital Goods",2
1397346,"Best Energy Services Inc","5/5/2008","OTH","","","Energy",5
1398453,"XINYUAN REAL ESTATE CO., LTD.","9/29/2009","OTH","","","Capital Goods",2
1398551,"Yongye International Inc.","10/20/2009","OTH","","","Basic Materials",1
1398797,"Point.360","9/19/2008","OTH","","","Services",8
1402857,"Clear Skies Solar Inc","7/22/2008","OTH","","","Capital Goods",2
1418135,"Dr Pepper Snapple Group Inc.","3/26/2009","OTH","","","Consumer Non-Cyclical",4
1428156,"Celera Corporation","11/12/2008","OTH","","","Services",8
1450973,"EFT BIOTECH HOLDINGS INC","10/19/2009","OTH","","","Services",8
